1483304399	250996561562998	79105550000	0013059001502860	250	99	33602	1153	3G	52.214.205.82	356
1483563600	250996561562998	79105551111	0013059001502860	250	99	33602	1153	3G	52.214.205.82	356
1483566000	250996561562998	79105551111	0013059001502860	250	99	33602	1153	3G	52.214.179.146	356
1483569000	250996561562998	79105551111	0013059001502860	250	99	33602	1153	3G	52.214.179.146	356
1483570860	250996561562998	79105551111	0013059001502860	250	99	33602	1153	3G	52.214.179.146	356
1483304400	250996561562998	79105552222	0013059001502860	250	99	62302	4327	3G	178.248.237.150	356
1483909199	250996561562998	79105553333	0013059001502860	250	99	12709	30713	3G	178.248.237.150	356
1483909200	250996561562998	79105554444	0013059001502860	250	99	62302	4327	3G	178.248.233.112	356
1483650000	250996561562998	79105555555	0013059001502860	250	99	62302	4327	3G	178.248.233.112	356
1483653660	250996561562998	79105555555	0013059001502860	250	99	62302	4327	3G	178.248.233.112	356
1483434000	250996561562998	79105556666	0013059001502860	250	99	22101	34967	3G	104.36.192.132	356
1483437600	250996561562998	79105556666	0013059001502860	250	99	22101	34967	3G	104.36.192.132	356
1483441200	250996561562998	79105556666	0013059001502860	250	99	22101	34967	3G	104.36.192.132	356
1483441200	250996561562998	79105557777	0013059001502860	250	99	22101	34967	3G	10.0.10.0	356
1483441200	250996561562998	79105558888	0013059001502860	250	99	100000	100000	3G	178.248.237.53	356
